Song Name,Song Link,Artist,CD,holla,crunk
Shackles (Praise You),https://open.spotify.com/track/7JKEA8xYDoFp4q0QBW2PGg,Mary Mary,False,False,False
What a Girl Wants,https://open.spotify.com/track/5bGmuxShUba9maPswDnhCs,Christina Aguilera,False,False,False
That's the Way It Is,https://open.spotify.com/track/5s4catxeZsaWFnOrvrXZHf,Céline Dion,False,False,False
Everything You Want,https://open.spotify.com/track/4cKGldbhGJniI8BrB3K6tb,Vertical Horizon,False,False,False
Hemorrhage (In My Hands),https://open.spotify.com/track/1sjrDQXqAa9V07FjKIlAQ4,Fuel,False,False,False
Born to Make You Happy,https://open.spotify.com/track/4l1MNtoCiTxBwf6yxD7kFd,Britney Spears,False,False,False
Be Like That,https://open.spotify.com/track/3PbHle8KhJp6GuO1jLdEmQ,3 Doors Down,False,False,False
Shalala Lala,https://open.spotify.com/track/4pV49P2v3sxI0XYjUTmOl1,Vengaboys,False,False,False
I Just Wanna Love U (Give It 2 Me),https://open.spotify.com/track/0s46SltT4On0Z6kglK1I5c,JAY-Z,False,True,False
Fill Me In,https://open.spotify.com/track/0UzsDmdpw0Q14KU4hieQss,Craig David,False,False,False
Thank God I Found You (feat. Joe & 98°),https://open.spotify.com/track/1RS3LStQYhju50eBdD9Uul,"Mariah Carey, Joe, 98º",False,False,False
I Turn to You,https://open.spotify.com/track/4Do68W4FWO2hRAJCzG1lus,Christina Aguilera,False,False,False
I Need You,https://open.spotify.com/track/046MBhhgQJJghnbgZCkaAR,LeAnn Rimes,False,False,False
Life Is A Rollercoaster,https://open.spotify.com/track/1vlTMKVV0FxG6CxGTmSY3t,Ronan Keating,False,False,False
She Bangs - English Version,https://open.spotify.com/track/1uPrIHgYztXSkkcts9jet8,Ricky Martin,True,False,False
Where I Wanna Be,https://open.spotify.com/track/2uZwyxrg6VPvlVsvclIfel,Donell Jones,False,False,False
Hey Baby (Radio Mix),https://open.spotify.com/track/0HNXnhNZZtRZFLhP4hfyCP,DJ Ötzi,False,False,False
Never Be The Same Again,https://open.spotify.com/track/79EAVfOpzgfHx3IE2BVFQv,"Melanie C, Lisa ""Left Eye"" Lopes",False,False,False
Be With You,https://open.spotify.com/track/2N4viTG9njqCa4c46YyWs1,Enrique Iglesias,False,False,False
The Way You Love Me,https://open.spotify.com/track/6vgN6KGstss0GnBbKlMNK9,Faith Hill,False,False,False
Against All Odds (Take A Look at Me Now) - Mariah Only,https://open.spotify.com/track/6PS1YRjdJ5Muakh2oh0UB2,Mariah Carey,False,False,False
Bag Lady,https://open.spotify.com/track/7BgUcOjSOlKJXASLgJ6bx1,"Erykah Badu, Roy Ayres",False,False,False
Rise,https://open.spotify.com/track/63nkNgHkmfgjElTEnCzKYU,GABRIELLE,False,False,False
Gotta Tell You,https://open.spotify.com/track/1rj0XawWJNisX7SGYexowJ,Samantha Mumba,False,False,False
There You Go,https://open.spotify.com/track/6dJ2mSRaKE9ctYw9qWNGWQ,P!nk,False,False,False
No More,https://open.spotify.com/track/2WfhlEjoUII31H6imnQdvF,Ruff Endz,False,False,False
Move Your Body - Gabry Ponte Original Radio Edit,https://open.spotify.com/track/3cqZlRpC4lOnxUE7HE3N5k,"Eiffel 65, Gabry Ponte",False,False,False
Wonderful,https://open.spotify.com/track/0WHOPmOuQKuu05k4g3UTvk,Everclear,False,False,False
Shake Ya Ass (feat. Pharrell Williams),https://open.spotify.com/track/1jRzdY7oUBOhrylNtiMtBD,"Mystikal, Pharrell Williams",False,True,False
You Sang To Me,https://open.spotify.com/track/2dwhMQsFeHr2S787WxqAqW,Marc Anthony,False,False,False
Let's Get Married,https://open.spotify.com/track/1PmHkalaUHhh0fz23SBHDL,Jagged Edge,False,False,False
Bent,https://open.spotify.com/track/6fA7akEuTUL3dW1V0GELaZ,Matchbox Twenty,False,False,False
Wifey,https://open.spotify.com/track/3NEzjZbeSCy72Kx1clSYgC,Next,False,False,False
I Wish,https://open.spotify.com/track/3lqT89gv8p3PYwXtr3ODjv,Carl Thomas,False,False,False
Don't Call Me Baby,https://open.spotify.com/track/4fazGt0v2v2zkzddQOcDZD,Madison Avenue,False,False,False
Freestyler,https://open.spotify.com/track/47xLbuUdmD03ATrke934S1,Bomfunk MC's,False,False,False
Case Of The Ex (Whatcha Gonna Do),https://open.spotify.com/track/1ak0S3NhwWrUgNlQhJ1412,Mýa,False,False,False
Separated,https://open.spotify.com/track/5S0cvScXb33JVpjTiY9Ivi,Avant,False,False,False
The Time Is Now,https://open.spotify.com/track/6h9AH81lpDbjcsBz2ClqAE,Moloko,False,False,False
Dancing in the Moonlight,https://open.spotify.com/track/0w07a1vsKahQMM0RnPXHVT,Toploader,False,False,False
Crash and Burn,https://open.spotify.com/track/60g4sp8i3gXSb1EkphMl1g,Savage Garden,False,False,False
Get It On Tonite,https://open.spotify.com/track/0AcLrSfAEBQcUnHOTm5pXg,Montell Jordan,False,False,False
Reach,https://open.spotify.com/track/6MnWfOgKRkQtY1pRgoTwB1,S Club,False,False,False
Desert Rose,https://open.spotify.com/track/4WhyHQ2BXi2VU1iaFbF6jv,"Sting, Cheb Mami",False,False,False
Don't Think I'm Not,https://open.spotify.com/track/487Dyzs7Xbbk4hIWYyYT80,Kandi,False,False,False
It Wasn't Me,https://open.spotify.com/track/3WkibOpDF7cQ5xntM1epyf,"Shaggy, Rik Rok",False,False,False
Survivor,https://open.spotify.com/track/2Mpj1Ul5OFPyyP4wB62Rvi,Destiny's Child,False,False,False
Stan,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz,"Eminem, Dido",False,False,False
Can't Get You out of My Head,https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7,Kylie Minogue,False,False,False
Lady Marmalade - Single Edit,https://open.spotify.com/track/0PSZ9G584Ve27GK6ThlY6P,"Christina Aguilera, Lil' Kim, Mýa, P!nk",False,False,False
I'm Like A Bird,https://open.spotify.com/track/2aGw77pZqli064JiPuXYRi,Nelly Furtado,False,False,False
"Whenever, Wherever",https://open.spotify.com/track/2lnzGkdtDj5mtlcOW2yRtG,Shakira,False,False,False
The Middle,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,False,False,False
Drops of Jupiter (Tell Me),https://open.spotify.com/track/2hKdd3qO7cWr2Jo0Bcs0MA,Train,False,False,False
Ms. Jackson,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV,Outkast,False,False,False
How You Remind Me,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,Nickelback,False,False,False
Island In The Sun,https://open.spotify.com/track/2MLHyLy5z5l5YRp7momlgw,Weezer,False,False,False
Family Affair,https://open.spotify.com/track/3aw9iWUQ3VrPQltgwvN9Xu,Mary J. Blige,False,False,True
Rollin' (Air Raid Vehicle),https://open.spotify.com/track/3IV4swNduIRunHREK80owz,Limp Bizkit,False,False,False
Drive,https://open.spotify.com/track/7nnWIPM5hwE3DaUBkvOIpy,Incubus,False,False,False
One More Time,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV,Daft Punk,False,False,False
Ride Wit Me,https://open.spotify.com/track/3Gf5nttwcX9aaSQXRWidEZ,"Nelly, City Spud",False,False,False
Angel,https://open.spotify.com/track/7FDV5ELOJHCGLe52AnttEd,"Shaggy, Rayvon",False,False,False
In Too Deep,https://open.spotify.com/track/1HNE2PX70ztbEl6MLxrpNL,Sum 41,False,False,False
