"","Year","Total_Count","Nostalgia_Index"
"1",2000,297,0.798387096774194
"2",2001,234,0.629032258064516
"3",2002,268,0.720430107526882
"4",2003,372,1
"5",2004,272,0.731182795698925
"6",2005,252,0.67741935483871
"7",2006,291,0.782258064516129
"8",2007,308,0.827956989247312
"9",2008,237,0.637096774193548
"10",2009,297,0.798387096774194
"11",2010,278,0.747311827956989
