"","word","n","Year"
"288","somethin",14,2000
"289","talking",14,2000
"290","that’s",14,2000
"291","black",13,2000
"292","butt",13,2000
"293","called",13,2000
"294","chris",13,2000
"295","dough",13,2000
"296","dress",13,2000
"297","feels",13,2000
"298","freaky",13,2000
"299","hmmm",13,2000
"300","missing",13,2000
"301","mmm",13,2000
"302","nothin",13,2000
"303","rap",13,2000
"304","red",13,2000
"305","runnin",13,2000
"306","savage",13,2000
"307","sit",13,2000
"308","skin",13,2000
"309","strange",13,2000
"310","thirty",13,2000
"311","you’re",13,2000
"312","10",12,2000
"313","ahora",12,2000
"314","bas",12,2000
"315","feelings",12,2000
"316","feet",12,2000
"317","fire",12,2000
"318","girlfriend",12,2000
"319","girls",12,2000
"320","giving",12,2000
"321","guess",12,2000
"322","gushy",12,2000
"323","holding",12,2000
"324","instrumental",12,2000
"325","looked",12,2000
"326","lookin",12,2000
"327","lot",12,2000
"328","mark",12,2000
"329","mo",12,2000
"330","moon",12,2000
"331","phone",12,2000
"332","rain",12,2000
"333","sang",12,2000
"334","santana",12,2000
"335","shopping",12,2000
"336","sleep",12,2000
"337","somebody's",12,2000
"338","succeed",12,2000
"339","tears",12,2000
"340","tom",12,2000
"341","vengo",12,2000
"342","vip",12,2000
"343","band",11,2000
"344","breath",11,2000
"345","breathless",11,2000
"346","carlos",11,2000
"347","caught",11,2000
"348","check",11,2000
"349","coast",11,2000
"350","curry",11,2000
"351","deep",11,2000
"352","denzel",11,2000
"353","desert",11,2000
"354","dirtbag",11,2000
"355","doin",11,2000
"356","eleven",11,2000
"357","ground",11,2000
"358","kinda",11,2000
"359","lies",11,2000
"360","lips",11,2000
"361","loving",11,2000
"362","martin",11,2000
"363","met",11,2000
"364","pimp",11,2000
"365","river",11,2000
"366","secret",11,2000
"367","shape",11,2000
"368","should've",11,2000
"369","star",11,2000
"370","sun",11,2000
"371","talkin",11,2000
"372","understand",11,2000
"373","version",11,2000
"374","warm",11,2000
"375","west",11,2000
"376","yellow",11,2000
"377","altar",10,2000
"378","ba",10,2000
"379","bird",10,2000
"380","biweekly",10,2000
"381","bleeding",10,2000
"382","bright",10,2000
"383","bring",10,2000
"384","cool",10,2000
"385","cut",10,2000
"386","dick",10,2000
"387","fat",10,2000
"388","forgot",10,2000
"389","guitar",10,2000
"390","heard",10,2000
"391","ho",10,2000
"392","house",10,2000
